OBJECTID,Y,X,Elevation,Aspect,Curvature,Profile,Plan,Slope,R,G,B,Rain,Valley_Depth,TPI,TRI,SPI,Dis_river,Dis_road,Geology,LULC,Slop_Length,MRVBF,MRRTF,TWI,NDVI,Gully
5742586,4162054.795199999585748,658628.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,13216.0000000,11629.0000000,11921.0000000,355.0934753,268.8457031,0.0270270,1.0954452,1460.7570801,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1245525,G
5743219,4162056.795199999585748,658626.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,13216.0000000,11629.0000000,11921.0000000,354.8870850,268.8457031,0.0270270,1.0954452,1460.7570801,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1245525,G
5743833,4162058.795199999585748,658624.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,13216.0000000,11629.0000000,11921.0000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5744124,4162059.795199999585748,658619.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5744125,4162059.795199999585748,658620.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5744957,4162062.795199999585748,658615.097199999727309,1921,108.4349518,0.6369328,-0.5020529,0.1348799,7.0541034,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2023.8826904,2261.6791992,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5745231,4162063.795199999585748,658611.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2051.1958008,2274.3828125,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5745506,4162064.795199999585748,658609.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1465.1849365,2051.1958008,2274.3828125,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5745779,4162065.795199999585748,658605.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.8457031,0.0270270,1.0954452,1527.8977051,2051.1958008,2274.3828125,10,14.0000000,67.6416016,0.8204775,0.1534178,8.3342609,0.1322817,G
5746053,4162066.795199999585748,658601.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,268.0175781,0.1621622,0.6324555,1527.8977051,2051.1958008,2274.3828125,10,14.0000000,0.0000000,1.1678746,0.2913434,8.2898121,0.1322817,G
5746334,4162067.795199999585748,658599.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1527.8977051,2051.1958008,2274.3828125,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1322817,G
5746620,4162068.795199999585748,658595.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,15311.5000000,13009.5000000,11871.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2051.1958008,2274.3828125,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1419759,G
5747213,4162070.795199999585748,658590.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2051.1958008,2274.3828125,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1419759,G
5747525,4162071.795199999585748,658589.097199999727309,1921,123.6900711,-0.0000000,0.0000000,-0.0000000,3.2171662,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2051.1958008,2274.3828125,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1419759,G
5747844,4162072.795199999585748,658585.097199999727309,1922,101.3099289,-0.5095462,0.3723607,-0.1371855,9.0995197,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2051.1958008,2274.3828125,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1419759,G
5748849,4162075.795199999585748,658580.097199999727309,1922,101.3099289,-0.5095462,0.3723607,-0.1371855,9.0995197,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2072.2539063,2262.5515137,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1265662,G
5749219,4162076.795199999585748,658578.097199999727309,1922,101.3099289,-0.5095462,0.3723607,-0.1371855,9.0995197,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2072.2539063,2262.5515137,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1265662,G
5750443,4162079.795199999585748,658572.097199999727309,1922,101.3099289,-0.5095462,0.3723607,-0.1371855,9.0995197,14464.5000000,12174.0000000,11696.5000000,354.8870850,263.6992188,1.1621622,1.8439089,1496.2246094,2072.2539063,2262.5515137,10,14.0000000,0.0000000,0.5569713,0.3395100,5.1615000,0.1265662,G
5750445,4162079.795199999585748,658574.097199999727309,1922,101.3099289,-0.5095462,0.3723607,-0.1371855,9.0995197,14464.5000000,12174.0000000,11696.5000000,354.8870850,267.3574219,-0.8108108,1.8973666,1496.2246094,2072.2539063,2262.5515137,10,14.0000000,28.0180702,0.6871917,0.1932741,7.3657274,0.1265662,G
5751592,4162082.795199999585748,658569.097199999727309,1923,98.1301041,-0.0000000,0.1298363,0.1298363,9.4640722,14464.5000000,12174.0000000,11696.5000000,354.8870850,263.6992188,1.1621622,1.8439089,1496.2246094,2072.2539063,2262.5515137,10,14.0000000,0.0000000,0.5569713,0.3395100,5.1615000,0.1308504,G
5751946,4162083.795199999585748,658566.097199999727309,1923,98.1301041,-0.0000000,0.1298363,0.1298363,9.4640722,13273.0000000,11650.0000000,11719.0000000,354.8870850,263.6992188,1.1621622,1.8439089,617.4262085,2072.2539063,2262.5515137,10,14.0000000,0.0000000,0.5569713,0.3395100,5.1615000,0.1308504,G
5753004,4162086.795199999585748,658561.097199999727309,1923,98.1301041,-0.0000000,0.1298363,0.1298363,9.4640722,13273.0000000,11650.0000000,11719.0000000,354.8870850,263.6992188,1.1621622,1.8439089,617.4262085,2072.2539063,2262.5515137,10,14.0000000,0.0000000,0.5569713,0.3395100,5.1615000,0.1308504,G
5753694,4162088.795199999585748,658558.097199999727309,1926,105.9453964,0.2547731,-0.3312050,-0.0764319,6.4959059,15521.0000000,12711.0000000,11808.0000000,354.8870850,263.6992188,1.1621622,1.8439089,617.4262085,2072.2539063,2262.5515137,10,14.0000000,0.0000000,0.5569713,0.3395100,5.1615000,0.1308504,G
5756120,4162095.795199999585748,658548.097199999727309,1926,105.9453964,0.2547731,-0.3312050,-0.0764319,6.4959059,15521.0000000,12711.0000000,11808.0000000,354.8870850,263.8752441,0.7027027,1.4142135,616.1484375,2099.6894531,2275.9443359,10,14.0000000,0.0000000,0.6473880,0.2674603,5.4129987,0.1308504,G
5757175,4162098.795199999585748,658543.097199999727309,1926,105.9453964,0.2547731,-0.3312050,-0.0764319,6.4959059,13512.0000000,11734.0000000,11572.5000000,354.8871765,264.2216797,-1.6486486,1.4142135,616.1484375,2099.6894531,2275.9443359,10,14.0000000,95.6596680,1.0967321,0.0510567,8.8539934,0.1450331,G
5758259,4162101.795199999585748,658541.097199999727309,1926,105.9453964,0.2547731,-0.3312050,-0.0764319,6.4959059,13512.0000000,11734.0000000,11572.5000000,354.8871765,264.2216797,-1.6486486,1.4142135,616.1484375,2093.8542480,2251.3593750,10,14.0000000,95.6596680,1.0967321,0.0510567,8.8539934,0.1438076,G
5759775,4162105.795199999585748,658537.097199999727309,1926,105.9453964,0.2547731,-0.3312050,-0.0764319,6.4959059,13512.0000000,11734.0000000,11572.5000000,354.8871765,264.2216797,-1.6486486,1.4142135,1150.8985596,2093.8542480,2251.3593750,10,14.0000000,95.6596680,1.0967321,0.0510567,8.8539934,0.1438076,G
5760869,4162108.795199999585748,658533.097199999727309,1927,101.3099289,0.6369328,-0.4720796,0.1648532,6.8246398,13512.0000000,11734.0000000,11572.5000000,354.8871765,264.2216797,-1.6486486,1.4142135,1150.8985596,2093.8542480,2251.3593750,10,14.0000000,95.6596680,1.0967321,0.0510567,8.8539934,0.1438076,G
5786374,4162207.795199999585748,658400.097199999727309,1940,104.0362473,0.6369328,-0.7608764,-0.1239437,11.0369101,12431.0000000,11197.0000000,11544.5000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2217.2661133,2252.0605469,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.2021428,G
5786693,4162208.795199999585748,658399.097199999727309,1940,104.0362473,0.6369328,-0.7608764,-0.1239437,11.0369101,12431.0000000,11197.0000000,11544.5000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2217.2661133,2252.0605469,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1763929,G
5787334,4162210.795199999585748,658393.097199999727309,1940,104.0362473,0.6369328,-0.7608764,-0.1239437,11.0369101,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2217.2661133,2252.0605469,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1763929,G
5787673,4162211.795199999585748,658386.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2245.0393066,2267.6049805,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1763929,G
5787676,4162211.795199999585748,658389.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2217.2661133,2252.0605469,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1763929,G
5788021,4162212.795199999585748,658383.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2245.0393066,2267.6049805,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1763929,G
5788387,4162213.795199999585748,658380.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2240.9921875,2244.3359375,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1838437,G
